Month,State mean,Day mean,Year mean,Cell Phone mean,College Housing (Cell) mean,College Housing (Landline) mean,General Health mean,Physical Health mean,Mental Health mean,Personal Doctor mean,Health Plan mean,Sleep Time mean,Exercise mean,Diabetes mean,Diabetes Age mean,Binge Drinks mean,Sex mean,Children mean,100 Cigarettes mean,Days Smoking mean,Income Lower mean,Income Upper mean
1.0,,1.3438438438438438,2020.0585585585586,,,,2.3933933933933935,3.809309309309309,3.8963963963963963,,,7.063063063063063,,,5.18018018018018,0.16666666666666666,,0.4039039039039039,,,40375.228228228225,24631.132132132134
2.0,,1.1801948051948052,2020.0,,,,2.4074675324675323,3.9204545454545454,3.271103896103896,,,7.0227272727272725,,,3.487012987012987,0.29707792207792205,,0.3717532467532468,,,39983.60064935065,24000.623376623378
3.0,,0.9499374217772215,2020.0,,,,2.2816020025031287,3.4705882352941178,3.444305381727159,,,7.060075093867334,,,4.036295369211515,0.11013767209011265,,0.409261576971214,,,40969.81852315394,26263.080100125157
4.0,,1.2367758186397986,2020.0,,,,2.1763224181360203,2.624685138539043,3.9899244332493704,,,7.095717884130982,,,2.229219143576826,0.4508816120906801,,0.4609571788413098,,,41863.86901763224,27744.5919395466
5.0,,0.9269746646795827,2020.0,,,,2.348733233979136,3.1982116244411327,3.6110283159463488,,,7.132637853949329,,,4.512667660208644,0.4232488822652757,,0.45454545454545453,,,39291.92995529061,23091.399403874813
6.0,,0.7572815533980582,2020.0,,,,2.179611650485437,2.3640776699029127,3.4514563106796117,,,7.213592233009709,,,3.1310679611650487,0.5242718446601942,,0.38349514563106796,,,42208.553398058255,23275.699029126212
7.0,,0.6632124352331606,2020.0,,,,2.1658031088082903,2.8911917098445596,4.170984455958549,,,7.284974093264249,,,2.61139896373057,-0.015544041450777202,,0.3471502590673575,,,40103.44041450777,22123.352331606216
8.0,,1.1104815864022664,2020.0,,,,2.263456090651558,2.898016997167139,3.45042492917847,,,7.084985835694051,,,4.11614730878187,0.47875354107648727,,0.40509915014164305,,,38512.56373937677,23497.5835694051
9.0,,1.0943396226415094,2020.0,,,,2.229559748427673,2.4213836477987423,3.5440251572327046,,,7.323899371069182,,,2.9716981132075473,0.24842767295597484,,0.3522012578616352,,,39307.94025157233,18332.333333333332
10.0,,1.284848484848485,2020.0,,,,2.2181818181818183,3.4363636363636365,4.3,,,7.112121212121212,,,3.2606060606060607,0.17272727272727273,,0.3212121212121212,,,43090.74848484848,21317.18181818182
11.0,,0.7991391678622669,2020.0,,,,2.261119081779053,3.1434720229555237,4.956958393113343,,,7.116212338593974,,,4.005738880918221,0.32281205164992827,,0.4218077474892396,,,40372.85652797704,24590.10473457676
12.0,,1.1614173228346456,2020.0,,,,2.326771653543307,3.0196850393700787,4.141732283464567,,,6.9921259842519685,,,2.9291338582677167,-0.023622047244094488,,0.4645669291338583,,,39094.299212598424,23010.811023622045
